seed,deleted_samples,window_size,test_size,hidden_size,n_head,num_layers,epoch_number,Target,LR,dropout,batch_size,grad_clip,MAE,MAPE,MSE,RMSE,r2,runtime
1048596,12,8,4,8,8,1,120,FE,1e-05,0.1,128,1.0,1751.183349609375,64.3226258456707,3684630.59765625,1751.183349609375,-inf,132.423882
1048596,12,8,4,8,2,1,30,IND,0.1,0.1,16,1.0,565.664306640625,24.3206936866045,476298.1689453125,565.664306640625,-inf,211.804709
1048596,12,8,4,8,8,3,120,NAE,1e-05,0.5,128,1.0,1043.1504821777344,122.67335737124085,1894001.5815429688,1043.1504821777344,-inf,136.714011
1048596,12,8,4,128,2,1,120,NE,0.1,0.1,128,1.0,746.8561706542969,36.53695061802864,573052.8359375,746.8561706542969,-inf,168.162641
1048596,12,8,4,8,2,3,120,SAE,0.1,0.5,128,0.01,279.67669677734375,7.798836147412658,144795.38345336914,279.67669677734375,-inf,130.976156
1048596,12,8,4,8,2,3,30,SAW,1e-05,0.5,16,0.01,1373.977523803711,116.29306375980377,2250679.421875,1373.977523803711,-inf,216.497766
1048596,12,8,4,128,2,1,120,SE,1e-05,0.5,128,1.0,667.0777893066406,30.66840037354268,714371.9196305275,667.0777893066406,-inf,165.380585
1048596,12,8,4,8,8,3,120,NAW,0.1,0.1,128,1.0,1119.8056640625,31.411800533533096,2572055.7802734375,1119.8056640625,-inf,132.81588
1048596,12,8,4,8,8,3,30,FE,1e-05,0.5,16,0.01,1641.128662109375,52.399490773677826,3666400.2958984375,1641.128662109375,-inf,222.763158
1048596,12,8,4,8,2,3,30,IND,1e-05,0.5,128,0.01,1918.0598754882812,93.58531981706619,3782926.875,1918.0598754882812,-inf,37.471953
1048596,12,8,4,8,8,1,30,NAE,0.1,0.1,16,1.0,953.6165771484375,85.56766733527184,983934.09375,953.6165771484375,-inf,218.293422
1048596,12,8,4,8,2,1,120,NE,1e-05,0.5,16,0.01,770.6335144042969,39.61834255605936,1053390.5377807617,770.6335144042969,-inf,815.852258
1048596,12,8,4,8,2,1,120,SAE,0.1,0.1,128,0.01,253.11083984375,7.034897385165095,131918.79467773438,253.11083984375,-inf,128.022915
1048596,12,8,4,8,2,1,30,SAW,0.1,0.1,128,1.0,647.897216796875,63.578611984848976,510840.216796875,647.897216796875,-inf,37.671226
1048596,12,8,4,8,2,3,30,SE,0.1,0.5,128,1.0,854.0199890136719,44.51185707002878,1007485.4833984375,854.0199890136719,-inf,37.339751
1048596,12,8,4,8,2,3,30,NAW,1e-05,0.1,16,1.0,676.0986938476562,16.966578690335155,1258745.599609375,676.0986938476562,-inf,211.703309
1048596,12,8,4,64,4,2,75,FE,0.001,0.3,64,0.1,825.7411499023438,22.432528715580702,1321112.8916015625,825.7411499023438,-inf,190.3404
1048596,12,8,4,64,4,2,75,IND,0.001,0.3,64,0.1,711.9139404296875,38.98577957879752,830634.5310974121,711.9139404296875,-inf,197.307207
1048596,12,8,4,64,4,2,75,NAE,0.001,0.3,64,0.1,921.8954162597656,85.47931276261806,969084.3515625,921.8954162597656,-inf,198.311521
1048596,12,8,4,64,4,2,75,NE,0.001,0.3,64,0.1,802.9931030273438,29.193523433059454,1302204.901916504,802.9931030273438,-inf,195.949954
1048596,12,8,4,64,4,2,75,SAE,0.001,0.3,64,0.1,379.1878662109375,10.7097745873034,262545.62841796875,379.1878662109375,-inf,192.234171
1048596,12,8,4,64,4,2,75,SAW,0.001,0.3,64,0.1,636.0173950195312,61.22686676681042,463846.80859375,636.0173950195312,-inf,191.648613
1048596,12,8,4,64,4,2,75,SE,0.001,0.3,64,0.1,855.1766662597656,48.66054686717689,1072949.9123382568,855.1766662597656,-inf,195.443079
1048596,12,8,4,64,4,2,75,NAW,0.001,0.3,64,0.1,1135.3837280273438,31.763725355267525,2643636.1079101562,1135.3837280273438,-inf,198.120579
