trial_index,LR,epochs,gradclip,attention_heads,hidden_size,mae,mape,mse,rmse,r2,runtime_s,started_at
19,0.09407216210044457,5,0.762527434765396,4,120,3112.3575439453125,55.520881394673424,19512146.079450876,4417.255491756264,-0.06805627172922457,8.931595,2025-11-04T14:45:56
0,0.050005,4,0.505,4,68,3154.312255859375,57.42983149123205,19375648.54385051,4401.777884429258,-0.06058466668998763,8.072239,2025-11-04T17:44:55
1,0.07314868292450905,4,0.7035651135444642,8,34,2867.690185546875,30.940816551479355,25365181.746593505,5036.385782145119,-0.3884398639538713,6.469688,2025-11-04T17:45:03
2,0.009316651452528314,4,0.1397645177692175,2,84,3807.1279907226562,55.012204559722214,32930305.402721718,5738.493304232542,-0.8025397653401289,8.016631,2025-11-04T17:45:10
3,0.03862403217093088,5,0.7593909097835422,4,119,5403.095458984375,100.77033280344716,47538700.68947676,6894.831447503032,-1.6021744207176916,10.034401,2025-11-04T17:45:18
4,0.08059233472738415,3,0.33143871046602724,1,66,3513.0216064453125,75.56021977456268,18333262.868922025,4281.735964409999,-0.0035265371979904536,5.287441,2025-11-04T17:45:28
5,0.0897777014815099,3,0.5377733636136625,8,63,3869.0184326171875,92.95918396563665,18429024.293028146,4292.903946401334,-0.008768328090176247,5.79668,2025-11-04T17:45:34
6,0.1,5,0.5223710056708007,1,59,3272.7962646484375,63.4948493096485,18890829.5318124,4346.35819184434,-0.03404663318242762,8.441159,2025-11-04T17:45:40
7,0.03945185304830275,3,0.8830238585332713,1,57,3349.0943603515625,41.74119077770223,29654518.689080685,5445.596265706878,-0.6232296817591005,5.375354,2025-11-04T17:45:49
8,0.05634151724926534,3,0.3818650114204479,4,52,4809.269470214844,83.00865817029016,41809751.093920246,6466.046016996805,-1.2885830545481465,5.370312,2025-11-04T17:45:55
9,0.1,3,0.845736525117223,8,67,3463.8885498046875,72.92098093934116,18438913.077266484,4294.055551255303,-0.0093096205744847,5.563811,2025-11-04T17:46:02
10,0.1,3,0.01,1,101,5859.431396484375,190.16929383298447,37121407.036649734,6092.733954199029,-1.0319523767127778,6.126889,2025-11-04T17:46:09
11,0.1,3,0.01,1,57,3413.0388793945312,43.638983483220045,29919610.731450245,5469.882149685699,-0.6377402956754497,5.442069,2025-11-04T17:46:17
