trial_index,test_size,p,d,q,P,D,Q,m,mae,mape,mse,rmse,r2,sd,runtime_s,started_at
80,24,0,0,0,2,1,2,52,1711.5254112136147,58.49485606000135,5130293.289879871,1974.104528523738,-32.39309105670518,27.867672879652666,56.736052,2026-01-11T02:42:32
81,24,3,2,4,2,1,2,52,431.494097005367,15.454671967833091,367584.2431218989,532.3365472660892,-0.7804741042450357,8.763713663554364,294.421204,2026-01-11T02:43:29
82,24,3,2,4,2,1,2,52,431.494097005367,15.454671967833091,367584.2431218989,532.3365472660892,-0.7804741042450357,8.763713663554364,294.413474,2026-01-11T02:48:24
83,24,3,2,4,2,1,2,52,431.494097005367,15.454671967833091,367584.2431218989,532.3365472660892,-0.7804741042450357,8.763713663554364,294.985453,2026-01-11T02:53:19
84,24,3,2,4,2,1,2,52,431.494097005367,15.454671967833091,367584.2431218989,532.3365472660892,-0.7804741042450357,8.763713663554364,294.664527,2026-01-11T02:58:15
85,24,1,2,2,2,0,1,52,463.95457870814533,15.939914704221062,424147.99645252357,571.155092039938,-1.0890329997160655,9.688542082300483,119.534296,2026-01-11T03:03:10
86,24,3,2,4,2,1,2,52,431.494097005367,15.454671967833091,367584.2431218989,532.3365472660892,-0.7804741042450357,8.763713663554364,294.774752,2026-01-11T03:05:10
87,24,3,2,4,2,1,2,52,431.494097005367,15.454671967833091,367584.2431218989,532.3365472660892,-0.7804741042450357,8.763713663554364,294.697118,2026-01-11T03:10:06
88,24,1,2,2,2,0,1,52,463.95457870814533,15.939914704221062,424147.99645252357,571.155092039938,-1.0890329997160655,9.688542082300483,119.599041,2026-01-11T03:15:01
89,24,3,2,4,2,1,2,52,431.494097005367,15.454671967833091,367584.2431218989,532.3365472660892,-0.7804741042450357,8.763713663554364,294.993473,2026-01-11T03:17:01
90,24,4,0,0,0,1,2,52,836.5687852268005,34.21372234249106,983231.433841965,966.0915352323105,-4.712743461139852,17.225908472385267,72.675276,2026-01-11T03:21:57
91,24,3,2,4,2,1,2,52,431.494097005367,15.454671967833091,367584.2431218989,532.3365472660892,-0.7804741042450357,8.763713663554364,294.932536,2026-01-11T03:23:10
92,24,3,2,4,2,1,2,52,431.494097005367,15.454671967833091,367584.2431218989,532.3365472660892,-0.7804741042450357,8.763713663554364,294.447936,2026-01-11T03:28:05
93,24,3,2,4,2,1,2,52,431.494097005367,15.454671967833091,367584.2431218989,532.3365472660892,-0.7804741042450357,8.763713663554364,294.760301,2026-01-11T03:33:00
94,24,3,2,4,2,1,2,52,431.494097005367,15.454671967833091,367584.2431218989,532.3365472660892,-0.7804741042450357,8.763713663554364,294.327837,2026-01-11T03:37:56
95,24,4,2,0,0,0,2,52,75270958558.0568,3804812367.0001907,1.820326116164862e+22,77895787953.56274,-1.218200023384372e+17,5380817230.793494,80.074075,2026-01-11T03:42:51
96,24,3,2,4,2,1,2,52,431.494097005367,15.454671967833091,367584.2431218989,532.3365472660892,-0.7804741042450357,8.763713663554364,294.451793,2026-01-11T03:44:11
97,24,3,2,4,2,1,2,52,431.494097005367,15.454671967833091,367584.2431218989,532.3365472660892,-0.7804741042450357,8.763713663554364,294.636045,2026-01-11T03:49:06
98,24,0,0,4,2,1,2,52,1206.9225288952387,36.46878023390456,2412389.043114072,1295.603409584204,-14.145800828614867,21.094688818941037,90.619027,2026-01-11T03:54:02
99,24,3,2,4,2,1,2,52,431.494097005367,15.454671967833091,367584.2431218989,532.3365472660892,-0.7804741042450357,8.763713663554364,294.719834,2026-01-11T03:55:33
