trial_index,window_size,batch_size,d_model,n_head,num_layers,epoch_number,lr,mae,mape,mse,rmse,r2,runtime_s,started_at
150,42,64,64,2,30,50,4.242714038234929e-05,1247.8578904889323,28.500185369292158,2277550.9281014106,1509.1557004170943,-2.121966784456276,7.057927,2025-11-12T00:21:57
151,43,64,128,4,1,594,0.0005403309754792663,562.0053641497396,13.539273861547066,532186.273544984,729.5109824704382,0.2705024293195418,4.874058,2025-11-12T00:22:05
152,43,64,128,4,1,600,0.0005275256451420462,529.2057075319011,13.127919301301501,460327.5088362282,678.4743980698374,0.36900326801639893,4.428498,2025-11-12T00:22:11
153,43,64,128,4,1,600,0.0005292581609263309,523.3709296998699,12.935063007411227,462327.0117544756,679.946330054421,0.36626243723225693,5.211925,2025-11-12T00:22:17
154,43,64,128,4,1,600,0.0005306090955278079,535.5072584173178,13.42801409444897,462574.680119846,680.1284291366197,0.3659229443143569,4.458191,2025-11-12T00:22:24
155,43,64,128,4,1,600,0.0005290100842414275,526.0942776816406,13.026889499560998,462939.55682914803,680.3966172969616,0.36542278734627,4.962942,2025-11-12T00:22:30
156,43,64,128,4,1,600,0.0005308900757124238,514.9758084433594,12.703032707260634,447402.0035456061,668.8811580135937,0.38672098299336977,4.297813,2025-11-12T00:22:36
157,43,64,128,4,1,600,0.0005345176617008903,529.6827888307292,13.174856568728735,450752.58348919265,671.3811015281802,0.3821281551608601,5.136589,2025-11-12T00:22:42
158,43,64,128,4,1,600,0.0005339200098155631,522.1126085735677,13.069676334646116,446248.78624840145,668.0185523235125,0.3883017626162144,4.450684,2025-11-12T00:22:48
159,43,64,128,4,1,600,0.0005361392871562348,529.6064847128906,13.154340691076163,452119.8952938428,672.3986133937539,0.38025390419002825,5.087029,2025-11-12T00:22:54
160,43,64,128,4,1,600,0.0005378746212921866,520.1073290325521,12.805694770795437,454273.84544513427,673.9984016636347,0.3773013639219992,4.282703,2025-11-12T00:23:01
161,43,64,128,4,1,599,0.0005432597675017526,532.8154690878906,13.112112426135628,469595.4593617408,685.2703549415667,0.356299168475251,4.878521,2025-11-12T00:23:06
162,43,64,128,4,1,600,0.0005417526286751156,530.9447075546876,13.50828337381435,441653.3886857314,664.5700780848709,0.3946009317698046,4.645686,2025-11-12T00:23:13
163,43,64,128,4,1,600,0.0005374924312598112,530.1431531927084,13.276541914421047,452991.1224589681,673.0461518045906,0.3790596642555104,5.208256,2025-11-12T00:23:19
164,43,64,128,4,1,600,0.0005367224226691188,530.9808641888021,13.264407440308116,450270.8552976457,671.0222464998055,0.38278848700880663,4.325605,2025-11-12T00:23:26
165,43,64,96,8,25,50,0.00023476099816442021,772.2470197695314,18.42406413218407,891573.5900445465,944.2317459419306,-0.2221299202024143,6.118523,2025-11-12T00:23:32
166,43,64,128,4,1,600,0.0005335150936199703,531.0729388971355,13.120220431586368,473498.903323676,688.1125658812488,0.35094849892763,4.757171,2025-11-12T00:23:40
167,43,64,64,8,30,50,0.0003720534221286762,758.6251122174481,18.891967743916815,786688.544963665,886.9546465088646,-0.07835810685303057,7.091672,2025-11-12T00:23:46
168,43,64,128,4,1,600,0.0005319063019490474,517.5347378867187,12.717493329233895,466763.1473930552,683.2006640753909,0.36018157732958367,4.741297,2025-11-12T00:23:55
169,43,64,128,4,1,600,0.0005349672414148599,531.6825446901042,13.257054730178089,452215.64006305486,672.4698060605062,0.3801226614654081,4.537186,2025-11-12T00:24:02
170,43,64,128,4,1,600,0.0005330889878709202,514.3832486289062,12.709629030153655,442402.2161519821,665.1332318806376,0.39357447196683015,5.225769,2025-11-12T00:24:08
171,43,64,128,4,1,600,0.000537283277202101,537.7651049114584,13.40516828415347,461965.3594298174,679.6803362094695,0.36675817435548574,4.494551,2025-11-12T00:24:15
172,43,64,128,4,1,600,0.0005340348879152761,526.2764539739584,13.274846097697043,442361.1939586403,665.1023935896188,0.3936307033878089,4.807671,2025-11-12T00:24:21
173,43,64,128,4,1,600,0.0005334662251592458,522.4498853704428,12.936193290215595,449319.38983705983,670.3129044237921,0.3840927140747554,4.448846,2025-11-12T00:24:27
174,43,64,128,4,1,600,0.0005363565470826542,525.4758491334636,12.987890789581167,453385.5284334289,673.3390887461004,0.37851902986763997,5.120578,2025-11-12T00:24:34
175,43,64,128,4,1,600,0.0005379926039367676,523.2438443320312,12.893119107700347,457153.7843389407,676.1314845050042,0.3733536701704384,4.955732,2025-11-12T00:24:40
176,43,64,128,4,1,599,0.0005412782908897698,525.8758125123699,13.003228061309205,448230.2370037525,669.4999902940646,0.38558567694413737,4.507205,2025-11-12T00:24:47
177,43,64,128,4,1,598,0.0005445186958724688,521.0896193059897,12.834711057964867,451847.7787973387,672.1962353341015,0.38062690953234857,4.872379,2025-11-12T00:24:53
178,43,64,128,4,1,595,0.0005503945276062711,534.0588534694011,13.48025706703497,446122.23761019326,667.9238262034027,0.388475229931579,4.90024,2025-11-12T00:25:00
179,43,64,128,4,1,600,0.0005408612181760075,535.5733118040365,13.645022298697082,431700.6846159014,657.0393326246925,0.40824366139580426,5.410909,2025-11-12T00:25:07
180,43,64,128,4,1,600,0.0005340869310115229,538.6996717473959,13.531243988149328,460211.26637464267,678.3887280716291,0.36916260807748646,4.352653,2025-11-12T00:25:14
181,43,64,128,4,1,600,0.0005315955347588887,515.6253344036459,12.78626950940169,442201.2548142261,664.9821462371949,0.3938499409426027,5.163188,2025-11-12T00:25:20
182,43,64,128,4,1,600,0.0005333657459881975,526.4049669720052,13.017005984918702,451681.8729716896,672.0728182062488,0.3808543259517285,4.564894,2025-11-12T00:25:27
183,43,64,128,4,1,600,0.000534811498981344,533.3555148463543,13.468348061750198,455441.8601283047,674.8643272008861,0.3757003006923594,5.23165,2025-11-12T00:25:33
184,43,64,128,4,1,600,0.0005327102726664592,526.450922968099,13.24210438165134,444461.1641550019,666.6792063316524,0.3907521564712514,4.695853,2025-11-12T00:25:40
185,43,64,128,4,1,600,0.0005310376130155558,522.0154574733074,13.132397256104413,440548.9068935807,663.7385832491439,0.3961149069027363,4.745347,2025-11-12T00:25:46
186,43,64,128,4,1,600,0.0005315486076793014,535.1370496770834,13.469056463893223,457686.1149354174,676.5250290531884,0.3726239747682216,4.60749,2025-11-12T00:25:53
187,43,64,128,4,1,600,0.0005317193568143379,530.9977064153646,13.17466327960521,463163.87995144556,680.5614446554004,0.36511529506227436,4.639651,2025-11-12T00:25:59
188,43,64,128,4,1,600,0.000531911859991054,527.7550032916666,13.349084137907246,447389.1455440883,668.8715463705182,0.3867386081771397,5.260027,2025-11-12T00:26:06
189,43,64,128,4,1,600,0.0005266110034702806,538.9240166367189,13.622012549988668,458350.12507552514,677.01560179624,0.3717137788308309,4.513548,2025-11-12T00:26:13
190,43,64,128,4,1,600,0.0005255113793777834,526.4423408326824,13.157146536482347,451011.042625102,671.5735571217065,0.38177387072862523,4.8134,2025-11-12T00:26:19
191,43,64,128,4,1,600,0.0005287614648915618,524.4998426458334,13.038442586223583,451621.93517202046,672.0282249816747,0.3809364860551061,4.439177,2025-11-12T00:26:26
192,43,64,512,2,30,420,0.0003620397712038362,752.9218656484376,19.42367942399146,740455.852273155,860.497444663931,-0.014984362207036028,141.654727,2025-11-12T00:26:32
193,43,64,128,4,1,600,0.0005288021146121981,537.7152493613281,13.33068711920731,486036.27479782887,697.1630188111163,0.3337628207398218,4.489186,2025-11-12T00:28:56
194,43,64,128,4,1,600,0.0005275737206174751,539.4029833294271,13.273642992106153,483305.1547300496,695.2015209491774,0.3375065201806402,4.892434,2025-11-12T00:29:02
195,43,64,128,4,1,600,0.0005277932025206867,532.4314664023437,13.23055800028881,457724.3976541069,676.5533221070656,0.37257149849878124,5.126256,2025-11-12T00:29:09
196,43,64,512,2,30,50,0.00013557412504206756,763.0345767356772,18.740510303571877,814790.1897942089,902.6572936581241,-0.116878607390281,17.046955,2025-11-12T00:29:16
197,43,64,128,4,1,600,0.0005266505500722915,521.3379198528646,12.852317757247569,461096.29363505094,679.0407157417374,0.36794945157844117,4.969022,2025-11-12T00:29:36
198,43,64,128,4,1,600,0.000526875664908147,532.0912021022136,13.371736543131071,451660.22646907467,672.0567137296335,0.38088399802682016,5.102085,2025-11-12T00:29:43
199,43,64,128,4,1,600,0.0005270633653932433,524.8470140911459,13.009556146479584,452416.82802593574,672.6193782712,0.3798468818418673,4.772497,2025-11-12T00:29:50
200,43,64,128,4,1,600,0.0005270515686025339,531.624459264974,13.41221117031323,452547.173202085,672.7162650048571,0.3796682103990332,4.956144,2025-11-12T00:29:56
201,43,64,128,4,1,600,0.0005243408620302915,526.6371615748699,13.390049607881888,437867.5090827763,661.715580202534,0.399790449257446,4.37478,2025-11-12T00:30:03
202,43,64,128,4,1,600,0.0005233960219830812,518.6583747682292,12.887098569154412,447244.9071016565,668.7637154493779,0.3869363238992154,5.078835,2025-11-12T00:30:09
203,43,64,128,4,1,600,0.000523313910338074,524.3567797161459,13.113115315758147,448718.9722676024,669.8648910546084,0.3849157401092216,4.4691,2025-11-12T00:30:15
204,43,64,128,4,1,600,0.0005239426593992273,532.8678677695312,13.286069234284238,459302.0388987228,677.7182592336751,0.3704089371691055,5.262817,2025-11-12T00:30:22
