trial_index,test_size,window_size,batch_size,d_model,n_head,num_layers,epoch_number,lr,mae,mape,mse,rmse,r2,runtime_s,started_at
415,12,24,32,1024,8,8,697,0.005854629856291678,1316.1597749317068,82.12675888484289,1755867.830959345,1325.0916311558778,-73.42872897542979,15.473605,2025-11-21T04:50:30
416,12,24,32,1024,8,7,856,0.00431282201086154,1157.1154634082693,72.31199716066969,1362507.4580023198,1167.2649476457004,-56.754744708347275,16.77529,2025-11-21T04:50:51
417,12,24,32,1024,8,7,847,0.006766152773679205,1242.3703258757173,77.57314989875277,1567075.3787902005,1251.8288136922718,-65.4260866310873,16.516913,2025-11-21T04:51:13
418,12,24,32,1024,8,7,861,0.005816289954804629,950.7006277962902,59.57396006492751,927422.9525361283,963.028012332003,-38.31213407001738,16.713279,2025-11-21T04:51:34
419,4,24,64,1024,4,10,1706,0.001298404673400552,810.9207854010889,55.3169795030284,662441.9020456532,813.9053397328545,-135.60308790554322,57.05459,2025-11-21T04:52:00
420,12,24,32,1024,8,6,935,0.005915097818472559,853.1550752246757,53.55433994180759,751464.8468722327,866.8707209683764,-30.85352133927856,15.707322,2025-11-21T04:53:02
421,4,24,32,1024,8,3,581,0.002032603365091361,800.0561613776514,54.57880640242306,644939.2632209929,803.0811062532805,-131.99384383061258,6.181283,2025-11-21T04:53:24
422,12,24,32,1024,8,7,738,0.00712413415754969,986.4255830371754,61.778578056712504,996626.71200688,998.3119312153291,-41.245582571614,14.37653,2025-11-21T04:53:37
423,12,24,32,1024,8,7,980,0.006131832488349547,906.0081839486339,56.815952476902844,844442.1787650381,918.9353506994048,-34.79469761364954,18.987431,2025-11-21T04:53:59
424,12,24,32,1024,8,7,768,0.006141903339795043,1031.1087088509776,64.53601199076525,1086776.4393884588,1042.4857022465387,-45.066900730183185,14.934303,2025-11-21T04:54:25
425,12,24,32,1024,8,6,851,0.005808301815435723,934.0808564746757,58.54833958007285,896098.3109230743,946.624693805879,-36.984327261462404,14.325438,2025-11-21T04:54:45
426,12,24,32,1024,8,7,815,0.006824687364357951,848.5945690397798,53.27290838609026,743704.0683246722,862.3827852668861,-30.52455302345771,15.966206,2025-11-21T04:55:06
427,12,24,32,1024,8,6,945,0.004919559036890083,1042.2556611621756,65.2238999161529,1109888.1277152144,1053.5122817106662,-46.04657218170516,15.795773,2025-11-21T04:55:28
428,12,24,32,1024,8,7,860,0.005081691221542758,863.0458629850923,54.16470880409261,768439.4163740701,876.6067626787225,-31.57304909111201,16.782991,2025-11-21T04:55:49
429,12,24,32,1024,8,7,839,0.005912720288422049,826.6095023080089,51.91618926676199,706874.5078970989,840.7582933858571,-28.963400570513464,16.371513,2025-11-21T04:56:11
430,12,24,32,1024,8,7,907,0.005042075453909795,1028.6003877246756,64.38122123509552,1081610.0221179638,1040.0048183147826,-44.84790368267217,17.650596,2025-11-21T04:56:34
431,4,24,32,512,4,6,953,0.0009325405672158297,846.0700163581201,57.70511882225573,720683.8644366108,848.9310127664148,-147.6132459038744,10.603127,2025-11-21T04:56:58
432,12,24,32,1024,8,6,863,0.005125260182087834,1042.4084931934256,65.23333131239015,1110206.7311723987,1053.6634809902062,-46.06007732710807,14.485795,2025-11-21T04:57:15
433,12,24,32,1024,8,6,890,0.004720822394682655,1050.6003877246756,65.73886017715806,1127352.4391778493,1061.7685431287975,-46.78685939562647,14.996298,2025-11-21T04:57:35
434,12,24,32,1024,8,6,772,0.00614218970950911,983.2225801074879,61.58091780311937,990317.9134138958,995.1471817846322,-40.978161611813604,13.007198,2025-11-21T04:57:55
435,12,24,32,1024,8,6,872,0.0060262047023977834,981.6726533496754,61.48527034190153,987272.462825203,993.6158527445116,-40.84906931199623,14.611152,2025-11-21T04:58:14
