trial_index,window_size,batch_size,d_model,n_head,num_layers,epoch_number,lr,mae,mape,mse,rmse,r2,runtime_s,started_at
69,24,64,512,16,2,1000,0.0002649572619589822,352.2911093964351,18.56478940688583,151505.67750388724,389.23730230270485,-0.1755442287544755,31.972176,2025-11-19T17:36:03
70,8,64,512,8,3,822,0.00036984872183178877,661.0226259166174,35.19512600537216,481673.52712095046,694.0270363040264,-2.7373420209702553,25.174902,2025-11-19T17:36:37
71,12,32,256,4,3,672,0.009567800697313956,364.77822252481974,21.23247990754914,186636.46497554882,432.01442681413874,-0.448126716383378,38.182161,2025-11-19T17:37:05
72,8,64,256,4,5,621,0.008940381219880025,363.51275011271036,21.149509172865635,185426.3929684766,430.61164982902704,-0.43873767441658695,28.928159,2025-11-19T17:37:46
73,12,32,256,4,5,610,0.009100000735060357,382.27421514350766,22.372840596337884,204310.60900453603,452.00731078660226,-0.5852617621041445,52.343605,2025-11-19T17:38:18
74,8,64,512,8,5,514,0.000403367654987703,731.5102561249508,39.188066501321366,593516.9302267088,770.4004998873695,-3.6051436057779354,24.840422,2025-11-19T17:39:13
75,8,16,512,16,8,300,0.0027867257811327365,377.74693183471555,22.08277718201064,199775.9129843571,446.9629883831066,-0.5500767061808081,76.32454,2025-11-19T17:39:39
76,8,32,256,4,6,556,0.008382154611880964,346.5442115855364,20.032929746102155,170263.51852605815,412.6300019703586,-0.32108776296916663,55.188009,2025-11-19T17:40:57
77,12,64,256,4,3,499,0.00933153328049903,452.91956714232794,26.78207755690905,284182.6441737495,533.0878390788421,-1.204995038961933,15.934636,2025-11-19T17:41:55
78,8,16,1024,32,9,320,0.001901953159103541,429.4935958401222,25.33269338298714,255326.5965796241,505.29852224167854,-0.9810987416560566,112.403046,2025-11-19T17:42:14
79,24,32,512,32,8,428,0.0010747453425805748,403.3374679104347,23.693195787437894,225454.64807645764,474.8206483257206,-0.7493199908983679,71.277955,2025-11-19T17:44:08
80,24,64,512,16,1,1000,0.0002693037768638188,204.72494106820182,10.745888742945924,56618.13385154659,237.94565314698772,0.5606955357146512,16.582292,2025-11-19T17:45:22
81,8,32,256,16,9,318,0.0016978599480433935,401.6370488023618,23.586617454109703,223646.58728284272,472.91287493875944,-0.7352911078479838,45.001611,2025-11-19T17:45:43
82,12,32,256,8,5,533,0.01,363.98899726440305,21.18073401651147,185880.2629119774,431.1383338465479,-0.44225928628934197,45.740497,2025-11-19T17:46:33
83,8,32,256,4,4,651,0.008571407150988733,347.16849950871347,20.07620926877695,170875.34663829044,413.37071332919857,-0.3258349844474242,45.224894,2025-11-19T17:47:22
84,8,32,256,8,5,554,0.009379138624813453,349.09800605346555,20.2044016476747,172546.65802723748,415.387359012329,-0.3388028183272991,46.780991,2025-11-19T17:48:10
85,8,64,256,4,6,539,0.006610108395747566,410.2962081448097,24.12934315530938,233004.70999737584,482.705614217792,-0.8079015032489307,30.51692,2025-11-19T17:49:02
