trial_index,test_size,p,d,q,P,D,Q,m,mae,mape,mse,rmse,r2,sd,runtime_s,started_at
87,24,4,1,1,1,0,1,52,269.69190323067454,13.506539884398846,148241.54732141356,340.48552194603803,-1.177855254025418,1.3083397023609808,5.603458,2026-01-10T12:08:18
88,24,4,1,1,1,0,1,52,269.69190323067454,13.506539884398846,148241.54732141356,340.48552194603803,-1.177855254025418,1.3083397023609808,5.591304,2026-01-10T12:08:25
89,24,4,1,1,1,0,1,52,269.69190323067454,13.506539884398846,148241.54732141356,340.48552194603803,-1.177855254025418,1.3083397023609808,5.611612,2026-01-10T12:08:31
90,24,4,1,1,1,0,1,52,269.69190323067454,13.506539884398846,148241.54732141356,340.48552194603803,-1.177855254025418,1.3083397023609808,5.572466,2026-01-10T12:08:38
91,24,4,1,1,1,0,1,52,269.69190323067454,13.506539884398846,148241.54732141356,340.48552194603803,-1.177855254025418,1.3083397023609808,5.579873,2026-01-10T12:08:44
92,24,4,1,1,1,0,1,52,269.69190323067454,13.506539884398846,148241.54732141356,340.48552194603803,-1.177855254025418,1.3083397023609808,5.545117,2026-01-10T12:08:51
93,24,4,1,1,1,0,1,52,269.69190323067454,13.506539884398846,148241.54732141356,340.48552194603803,-1.177855254025418,1.3083397023609808,5.587287,2026-01-10T12:08:58
94,24,4,1,1,1,0,1,52,269.69190323067454,13.506539884398846,148241.54732141356,340.48552194603803,-1.177855254025418,1.3083397023609808,5.584821,2026-01-10T12:09:04
95,24,4,1,1,1,0,1,52,269.69190323067454,13.506539884398846,148241.54732141356,340.48552194603803,-1.177855254025418,1.3083397023609808,5.550752,2026-01-10T12:09:11
96,24,4,1,1,1,0,1,52,269.69190323067454,13.506539884398846,148241.54732141356,340.48552194603803,-1.177855254025418,1.3083397023609808,5.590921,2026-01-10T12:09:18
97,24,4,1,1,1,0,1,52,269.69190323067454,13.506539884398846,148241.54732141356,340.48552194603803,-1.177855254025418,1.3083397023609808,5.588659,2026-01-10T12:09:24
98,24,4,1,1,1,0,1,52,269.69190323067454,13.506539884398846,148241.54732141356,340.48552194603803,-1.177855254025418,1.3083397023609808,5.578371,2026-01-10T12:09:31
99,24,4,1,1,1,0,1,52,269.69190323067454,13.506539884398846,148241.54732141356,340.48552194603803,-1.177855254025418,1.3083397023609808,5.570334,2026-01-10T12:09:38
